InitialMass,MeltTemp,EndState,FinalMass,FinalAlt,FinalVel,FinalLat,FinalLon
212,960,demise,2.197,79.918,3.376,-1.359,33.994
212,1010,impact,4.526,0,0.005,0.002,34.154
212,1060,impact,8.302,0,0.006,0.717,34.293
212,1110,impact,14.062,0,0.008,1.35,34.414
212,1160,impact,22.267,0,0.01,1.904,34.519
212,1210,impact,33.41,0,0.013,2.386,34.611
212,1260,impact,47.971,0,0.015,2.804,34.69
212,1310,impact,66.333,0,0.018,3.165,34.758
212,1360,impact,88.841,0,0.021,3.473,34.816
222,810,demise,0.008,86.476,2.852,19.218,37.614
222,860,demise,0.151,84.729,3.263,20.153,37.808
222,910,demise,0.661,82.825,3.409,21.041,37.994
222,960,demise,1.835,80.777,3.403,21.871,38.172
222,1010,demise,3.972,78.67,3.475,22.622,38.334
222,1060,impact,7.597,0,0.006,24.137,38.591
222,1110,impact,13.191,0,0.008,24.821,38.759
222,1160,impact,21.323,0,0.01,25.417,38.906
222,1210,impact,32.466,0,0.013,25.93,39.034
222,1260,impact,47.133,0,0.015,26.371,39.145
222,1310,impact,65.728,0,0.018,26.749,39.24
222,1360,impact,88.605,0,0.021,27.07,39.321
232,810,demise,0.112,83.719,2.866,-34.187,27.272
232,860,demise,0.475,81.974,2.933,-33.438,27.485
232,910,demise,1.414,80.175,3.278,-32.738,27.68
232,960,demise,3.109,78.176,3.131,-32.058,27.867
232,1010,impact,5.983,0,0.005,-30.825,28.111
232,1060,impact,10.517,0,0.007,-30.167,28.295
232,1110,impact,17.188,0,0.009,-29.584,28.455
232,1160,impact,26.489,0,0.011,-29.071,28.592
232,1210,impact,38.911,0,0.014,-28.622,28.71
232,1260,impact,54.903,0,0.017,-28.23,28.812
232,1310,impact,74.855,0,0.019,-27.891,28.899
232,1360,impact,99.179,0,0.022,-27.6,28.973
242,810,demise,0.106,83.871,2.872,-26.429,29.192
242,860,demise,0.493,82.046,2.827,-25.623,29.38
242,910,demise,1.424,80.138,3.074,-24.87,29.553
242,960,demise,3.213,78.243,3.363,-24.191,29.706
242,1010,impact,6.222,0,0.005,-22.881,29.918
242,1060,impact,10.963,0,0.007,-22.204,30.077
242,1110,impact,17.942,0,0.009,-21.608,30.215
242,1160,impact,27.668,0,0.012,-21.085,30.333
242,1210,impact,40.634,0,0.014,-20.629,30.435
242,1260,impact,57.261,0,0.017,-20.234,30.523
242,1310,impact,78.008,0,0.02,-19.892,30.597
242,1360,impact,103.203,0,0.023,-19.6,30.661
252,810,demise,0.083,84.506,3.026,-12.96,31.866
252,860,demise,0.396,82.654,3.122,-12.073,32.032
252,910,demise,1.291,80.696,3.313,-11.243,32.186
252,960,demise,2.982,78.612,3.28,-10.47,32.329
252,1010,impact,5.949,0,0.005,-9.086,32.508
252,1060,impact,10.696,0,0.007,-8.363,32.651
252,1110,impact,17.748,0,0.009,-7.731,32.774
252,1160,impact,27.64,0,0.012,-7.18,32.88
252,1210,impact,40.854,0,0.014,-6.703,32.972
252,1260,impact,57.88,0,0.017,-6.291,33.05
252,1310,impact,79.136,0,0.02,-5.937,33.117
252,1360,impact,104.963,0,0.023,-5.636,33.174
262,810,demise,0.549,80.704,2.606,-76.553,-79.385
262,860,demise,1.497,78.821,2.779,-76.612,-76.436
262,910,demise,3.286,76.923,3.006,-76.635,-73.712
262,960,impact,6.266,0,0.006,-76.726,-68.752
262,1010,impact,10.905,0,0.007,-76.635,-66.05
262,1060,impact,17.685,0,0.009,-76.534,-63.677
262,1110,impact,27.082,0,0.012,-76.43,-61.607
